date,port,current_state,predicted_state,p_s3,hawkes_lambda,hawkes_alert,confidence,tier0_action,tier1_action,tier2_action,tier3_action,tier0_cost
2025-11-06,Nhava Sheva,S4,S3,0.5865,0.327,1,0.5355,Strong,Escrow,Stale,Stale,282.8792
2025-11-06,Busan,S3,S4,0.3968,0.2249,1,0.6097,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-06,Hamburg,S1,S3,0.4311,0.3112,1,0.3328,Strong,Escrow,Stale,Stale,232.5081
2025-11-07,Hamburg,S3,S3,0.651,0.3612,1,0.5857,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-07,Nhava Sheva,S0,S3,0.5789,0.3571,1,0.4877,Strong,Escrow,Stale,Stale,123.1027
2025-11-07,Rotterdam,S3,S3,0.6502,0.3191,1,0.6362,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-07,Shanghai,S0,S0,0.362,0.2758,1,0.3922,Strong,Escrow,Stale,Stale,123.1027
2025-11-08,Rotterdam,S4,S3,0.7032,0.31,1,0.723,Strong,Escrow,Stale,Stale,282.8792
2025-11-08,Hamburg,S3,S4,0.3648,0.3062,1,0.7558,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-08,Nhava Sheva,S3,S3,0.6799,0.3299,1,0.6653,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-09,Rotterdam,S3,S3,0.6978,0.3019,1,0.7251,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-09,Hamburg,S4,S3,0.4805,0.2859,1,0.4343,Strong,Escrow,Stale,Stale,282.8792
2025-11-09,Nhava Sheva,S3,S3,0.5785,0.3091,1,0.5459,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Hamburg,S3,S3,0.6532,0.3272,1,0.6305,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Nhava Sheva,S4,S3,0.5498,0.3324,1,0.4764,Strong,Escrow,Stale,Stale,282.8792
2025-11-10,Rotterdam,S3,S3,0.712,0.2978,1,0.7504,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Shanghai,S0,S0,0.4139,0.2923,1,0.3369,Strong,Escrow,Stale,Stale,123.1027
2025-11-11,Rotterdam,S3,S3,0.7023,0.2971,1,0.7375,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-11,Nhava Sheva,S0,S3,0.5646,0.315,1,0.5188,Strong,Escrow,Stale,Stale,123.1027
2025-11-11,Hamburg,S4,S0,0.3522,0.2855,1,0.3577,Strong,Escrow,Stale,Stale,282.8792
2025-11-12,Hamburg,S3,S3,0.5789,0.2811,1,0.5808,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-12,Nhava Sheva,S2,S3,0.6697,0.3069,1,0.6789,Strong,Escrow,Stale,Stale,421.3218
2025-11-12,Rotterdam,S3,S4,0.4346,0.2949,1,0.6422,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-13,Rotterdam,S4,S3,0.5931,0.2953,1,0.5837,Strong,Escrow,Stale,Stale,282.8792
2025-11-13,Nhava Sheva,S1,S3,0.5583,0.2995,1,0.5288,Strong,Escrow,Stale,Stale,232.5081
2025-11-13,Hamburg,S3,S3,0.5242,0.2575,1,0.5314,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-14,Rotterdam,S3,S3,0.556,0.2621,1,0.5713,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-14,Nhava Sheva,S0,S0,0.3484,0.2747,1,0.388,Strong,Escrow,Stale,Stale,123.1027
2025-11-15,Hamburg,S2,S3,0.4946,0.2805,1,0.461,Strong,Escrow,Stale,Stale,421.3218
2025-11-15,Nhava Sheva,S2,S3,0.6267,0.2887,1,0.6397,Strong,Escrow,Stale,Stale,421.3218
2025-11-15,Rotterdam,S4,S3,0.4807,0.2419,1,0.4885,Strong,Escrow,Stale,Stale,282.8792
2025-11-16,Rotterdam,S2,S3,0.5592,0.2296,1,0.6157,Strong,Escrow,Stale,Stale,421.3218
2025-11-16,Nhava Sheva,S1,S3,0.4608,0.2681,1,0.4278,Strong,Escrow,Stale,Stale,232.5081
2025-11-16,Hamburg,S3,S3,0.5255,0.2572,1,0.5337,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-17,Antwerp,S3,S4,0.3933,0.1745,1,0.5536,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-17,Nhava Sheva,S0,S3,0.4577,0.3016,1,0.3825,Strong,Escrow,Stale,Stale,123.1027
2025-11-17,Rotterdam,S3,S3,0.7325,0.2835,1,0.7973,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-18,Rotterdam,S3,S4,0.3462,0.2549,1,0.7195,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-18,Hamburg,S0,S0,0.4091,0.3024,1,0.3134,Strong,Escrow,Stale,Stale,123.1027
2025-11-18,Nhava Sheva,S3,S3,0.6038,0.305,1,0.587,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-19,Rotterdam,S3,S3,0.6795,0.2685,1,0.74,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-19,Nhava Sheva,S4,S3,0.5544,0.294,1,0.53,Strong,Escrow,Stale,Stale,282.8792
2025-11-20,Hamburg,S3,S3,0.4737,0.2591,1,0.4575,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-20,Nhava Sheva,S3,S3,0.605,0.2714,1,0.6299,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-20,Rotterdam,S3,S3,0.6363,0.2458,1,0.706,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-21,Rotterdam,S4,S3,0.6257,0.2965,1,0.6288,Strong,Escrow,Stale,Stale,282.8792
2025-11-21,Nhava Sheva,S4,S3,0.5337,0.2939,1,0.5005,Strong,Escrow,Stale,Stale,282.8792
2025-11-22,Nhava Sheva,S3,S3,0.7385,0.2713,1,0.8207,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-22,Rotterdam,S3,S3,0.6417,0.2628,1,0.6929,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-23,Shanghai,S0,S0,0.3151,0.3005,1,0.4577,Strong,Escrow,Stale,Stale,123.1027
2025-11-23,Rotterdam,S3,S4,0.4287,0.2733,1,0.6242,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-23,Nhava Sheva,S4,S0,0.3552,0.3026,1,0.3925,Strong,Escrow,Stale,Stale,282.8792
2025-11-23,Hamburg,S3,S3,0.5428,0.2936,1,0.5139,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-24,Shanghai,S2,S0,0.3175,0.2249,1,0.2927,Strong,Escrow,Stale,Stale,421.3218
2025-11-24,Rotterdam,S3,S3,0.7091,0.2822,1,0.7654,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-24,Nhava Sheva,S0,S3,0.4917,0.2969,1,0.4368,Strong,Escrow,Stale,Stale,123.1027
2025-11-24,Hamburg,S3,S3,0.4688,0.2651,1,0.443,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-25,Hamburg,S3,S3,0.45,0.2479,1,0.4373,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-25,Nhava Sheva,S1,S3,0.4939,0.2731,1,0.4691,Strong,Escrow,Stale,Stale,232.5081
2025-11-25,Rotterdam,S4,S3,0.6286,0.2541,1,0.6848,Strong,Escrow,Stale,Stale,282.8792
2025-11-26,Rotterdam,S0,S3,0.4825,0.2688,1,0.4581,Strong,Escrow,Stale,Stale,123.1027
2025-11-26,Nhava Sheva,S3,S3,0.6559,0.2815,1,0.6902,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-27,Busan,S3,S4,0.3176,0.187,1,0.6768,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-27,Hamburg,S2,S3,0.3741,0.2568,1,0.3179,Strong,Escrow,Stale,Stale,421.3218
2025-11-27,Nhava Sheva,S4,S0,0.3555,0.2797,1,0.39,Strong,Escrow,Stale,Stale,282.8792
2025-11-27,Rotterdam,S3,S3,0.5725,0.277,1,0.5766,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-28,Shanghai,S2,S0,0.3113,0.2646,1,0.3113,Strong,Escrow,Stale,Stale,421.3218
2025-11-28,Rotterdam,S3,S3,0.6384,0.2928,1,0.6514,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-28,Hamburg,S0,S0,0.3261,0.3282,1,0.4357,Strong,Escrow,Stale,Stale,123.1027
2025-11-28,Nhava Sheva,S3,S3,0.6461,0.3284,1,0.6188,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-29,Shanghai,S0,S3,0.4148,0.2677,1,0.3628,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Rotterdam,S3,S3,0.6992,0.2915,1,0.7399,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-29,Hamburg,S0,S3,0.4327,0.2993,1,0.3497,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Nhava Sheva,S4,S3,0.5757,0.3082,1,0.5429,Strong,Escrow,Stale,Stale,282.8792
2025-11-30,Hamburg,S3,S3,0.5279,0.2686,1,0.5232,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-30,Nhava Sheva,S0,S0,0.3773,0.28,1,0.334,Strong,Escrow,Stale,Stale,123.1027
2025-11-30,Rotterdam,S3,S3,0.5822,0.2597,1,0.6117,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-01,Rotterdam,S3,S3,0.6058,0.274,1,0.6279,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-01,Nhava Sheva,S2,S3,0.5912,0.2832,1,0.5958,Strong,Escrow,Stale,Stale,421.3218
2025-12-01,Hamburg,S4,S0,0.3542,0.25,1,0.3072,Strong,Escrow,Stale,Stale,282.8792
2025-12-02,Hamburg,S3,S3,0.5147,0.2387,1,0.541,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-02,Nhava Sheva,S0,S3,0.4751,0.2648,1,0.4525,Strong,Escrow,Stale,Stale,123.1027
2025-12-02,Rotterdam,S3,S3,0.6868,0.2491,1,0.7741,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-03,Rotterdam,S3,S3,0.7081,0.2953,1,0.7479,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-03,Nhava Sheva,S2,S3,0.6141,0.2996,1,0.6084,Strong,Escrow,Stale,Stale,421.3218
2025-12-03,Hamburg,S3,S3,0.5551,0.2681,1,0.5627,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Rotterdam,S3,S3,0.7068,0.262,1,0.7869,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Nhava Sheva,S3,S3,0.74,0.2747,1,0.8187,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-04,Hamburg,S4,S0,0.3246,0.2497,1,0.3687,Strong,Escrow,Stale,Stale,282.8792
2025-12-05,Hamburg,S3,S3,0.5965,0.2516,1,0.6421,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-05,Nhava Sheva,S3,S4,0.3265,0.2756,1,0.7732,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-05,Rotterdam,S3,S3,0.6896,0.2728,1,0.749,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-06,Rotterdam,S3,S3,0.7229,0.282,1,0.7854,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-06,Nhava Sheva,S4,S3,0.4448,0.2805,1,0.3899,Strong,Escrow,Stale,Stale,282.8792
2025-12-06,Hamburg,S4,S0,0.3128,0.2397,1,0.3677,Strong,Escrow,Stale,Stale,282.8792
2025-12-07,Nhava Sheva,S0,S0,0.3301,0.2632,1,0.4005,Strong,Escrow,Stale,Stale,123.1027
2025-12-07,Rotterdam,S3,S3,0.7096,0.2539,1,0.8007,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-08,Rotterdam,S3,S3,0.601,0.2369,1,0.6663,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-08,Nhava Sheva,S0,S0,0.3526,0.2527,1,0.3748,Strong,Escrow,Stale,Stale,123.1027
2025-12-09,Nhava Sheva,S3,S3,0.6538,0.2463,1,0.7304,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-09,Rotterdam,S3,S3,0.672,0.2266,1,0.7805,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-10,Rotterdam,S3,S3,0.6155,0.2514,1,0.6694,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-10,Nhava Sheva,S4,S0,0.3987,0.2584,1,0.3563,Strong,Escrow,Stale,Stale,282.8792
2025-12-11,Nhava Sheva,S1,S3,0.4998,0.2701,1,0.4813,Strong,Escrow,Stale,Stale,232.5081
2025-12-11,Rotterdam,S4,S3,0.6327,0.2689,1,0.6725,Strong,Escrow,Stale,Stale,282.8792
2025-12-12,Rotterdam,S2,S3,0.6544,0.288,1,0.6802,Strong,Escrow,Stale,Stale,421.3218
2025-12-12,Nhava Sheva,S1,S3,0.5172,0.2935,1,0.4774,Strong,Escrow,Stale,Stale,232.5081
2025-12-13,Rotterdam,S3,S4,0.3559,0.2853,1,0.7429,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-13,Nhava Sheva,S2,S3,0.6893,0.2967,1,0.7194,Strong,Escrow,Stale,Stale,421.3218
2025-12-14,Busan,S3,S4,0.3431,0.1784,1,0.6293,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-14,Nhava Sheva,S0,S3,0.424,0.302,1,0.3338,Strong,Escrow,Stale,Stale,123.1027
2025-12-14,Rotterdam,S3,S3,0.6249,0.256,1,0.6773,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-15,Rotterdam,S4,S3,0.6893,0.2801,1,0.7396,Strong,Escrow,Stale,Stale,282.8792
2025-12-15,Nhava Sheva,S2,S3,0.6536,0.3129,1,0.6486,Strong,Escrow,Stale,Stale,421.3218
2025-12-15,Hamburg,S1,S3,0.4297,0.312,1,0.3297,Strong,Escrow,Stale,Stale,232.5081
2025-12-16,Hamburg,S3,S4,0.4137,0.2763,1,0.6494,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-16,Nhava Sheva,S1,S3,0.4937,0.2828,1,0.4569,Strong,Escrow,Stale,Stale,232.5081
2025-12-16,Rotterdam,S1,S3,0.5246,0.2528,1,0.5378,Strong,Escrow,Stale,Stale,232.5081
2025-12-17,Rotterdam,S3,S3,0.672,0.2698,1,0.7276,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-17,Hamburg,S3,S4,0.4106,0.2547,1,0.5917,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-17,Nhava Sheva,S1,S3,0.5054,0.2849,1,0.4711,Strong,Escrow,Stale,Stale,232.5081
2025-12-18,Rotterdam,S3,S3,0.5777,0.2466,1,0.6213,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-18,Nhava Sheva,S3,S3,0.6773,0.2949,1,0.7044,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-19,Hamburg,S0,S0,0.3618,0.314,1,0.3918,Strong,Escrow,Stale,Stale,123.1027
2025-12-19,Nhava Sheva,S4,S3,0.6348,0.3245,1,0.6074,Strong,Escrow,Stale,Stale,282.8792
2025-12-19,Rotterdam,S3,S3,0.71,0.3054,1,0.7383,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-19,Singapore,S0,S0,0.3075,0.1735,1,0.3619,Strong,Escrow,Stale,Stale,123.1027
2025-12-20,Rotterdam,S4,S3,0.5413,0.2681,1,0.5428,Strong,Escrow,Stale,Stale,282.8792
2025-12-20,Nhava Sheva,S0,S3,0.4591,0.2899,1,0.3988,Strong,Escrow,Stale,Stale,123.1027
2025-12-20,Antwerp,S3,S3,0.3053,0.1853,1,0.3072,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-20,Hamburg,S3,S4,0.4342,0.2775,1,0.6216,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-21,Hamburg,S4,S0,0.3901,0.3184,1,0.3858,Strong,Escrow,Stale,Stale,282.8792
2025-12-21,Nhava Sheva,S3,S3,0.748,0.349,1,0.7392,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-21,Rotterdam,S2,S3,0.7494,0.3375,1,0.7553,Strong,Escrow,Stale,Stale,421.3218
2025-12-22,Rotterdam,S3,S4,0.3896,0.3186,1,0.7356,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-22,Nhava Sheva,S4,S3,0.726,0.3207,1,0.7425,Strong,Escrow,Stale,Stale,282.8792
2025-12-22,Hamburg,S2,S3,0.5058,0.2933,1,0.4614,Strong,Escrow,Stale,Stale,421.3218
2025-12-23,Shanghai,S0,S3,0.4116,0.2658,1,0.3604,Strong,Escrow,Stale,Stale,123.1027
2025-12-23,Rotterdam,S4,S3,0.6822,0.2762,1,0.7344,Strong,Escrow,Stale,Stale,282.8792
2025-12-23,Nhava Sheva,S3,S3,0.6213,0.3166,1,0.5979,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-23,Hamburg,S0,S0,0.3965,0.3109,1,0.328,Strong,Escrow,Stale,Stale,123.1027
2025-12-24,Hamburg,S3,S3,0.5739,0.2887,1,0.5643,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-24,Nhava Sheva,S4,S3,0.6452,0.301,1,0.6512,Strong,Escrow,Stale,Stale,282.8792
2025-12-24,Rotterdam,S3,S3,0.7601,0.2814,1,0.8392,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-24,Shanghai,S0,S0,0.3473,0.2685,1,0.3817,Strong,Escrow,Stale,Stale,123.1027
2025-12-25,Shanghai,S2,S3,0.3923,0.2965,1,0.2954,Strong,Escrow,Stale,Stale,421.3218
2025-12-25,Rotterdam,S3,S3,0.5334,0.2872,1,0.5083,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Nhava Sheva,S3,S3,0.6798,0.325,1,0.6712,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Busan,S3,S4,0.322,0.2198,1,0.2946,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-25,Antwerp,S2,S0,0.3127,0.2374,1,0.3939,Strong,Escrow,Stale,Stale,421.3218
2025-12-26,Antwerp,S2,S0,0.3877,0.2813,1,0.339,Strong,Escrow,Stale,Stale,421.3218
2025-12-26,Hamburg,S0,S0,0.3435,0.3265,1,0.4125,Strong,Escrow,Stale,Stale,123.1027
2025-12-26,Nhava Sheva,S4,S3,0.6044,0.3428,1,0.5417,Strong,Escrow,Stale,Stale,282.8792
2025-12-26,Rotterdam,S3,S3,0.6569,0.33,1,0.6324,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-26,Shanghai,S0,S3,0.4475,0.3045,1,0.3643,Strong,Escrow,Stale,Stale,123.1027
2025-12-27,Rotterdam,S3,S3,0.6664,0.2831,1,0.7033,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-27,Nhava Sheva,S1,S3,0.5764,0.301,1,0.5528,Strong,Escrow,Stale,Stale,232.5081
2025-12-28,Hamburg,S1,S0,0.3418,0.26,1,0.3437,Strong,Escrow,Stale,Stale,232.5081
2025-12-28,Nhava Sheva,S0,S0,0.3738,0.2756,1,0.3532,Strong,Escrow,Stale,Stale,123.1027
2025-12-28,Rotterdam,S3,S3,0.5332,0.2546,1,0.5478,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-29,Rotterdam,S3,S3,0.5261,0.2374,1,0.5589,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-29,Nhava Sheva,S1,S3,0.3985,0.2602,1,0.3486,Strong,Escrow,Stale,Stale,232.5081
2025-12-29,Hamburg,S3,S3,0.3786,0.2448,1,0.3391,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-30,Hamburg,S3,S3,0.5109,0.2563,1,0.5139,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-30,Nhava Sheva,S2,S3,0.5429,0.294,1,0.5136,Strong,Escrow,Stale,Stale,421.3218
2025-12-30,Rotterdam,S4,S3,0.6453,0.2922,1,0.6619,Strong,Escrow,Stale,Stale,282.8792
2025-12-31,Rotterdam,S2,S3,0.6129,0.2602,1,0.6549,Strong,Escrow,Stale,Stale,421.3218
2025-12-31,Nhava Sheva,S2,S3,0.5223,0.2713,1,0.5119,Strong,Escrow,Stale,Stale,421.3218
2025-12-31,Hamburg,S3,S3,0.6401,0.2426,1,0.7154,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-01,Rotterdam,S3,S4,0.3804,0.3104,1,0.7386,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-01,Nhava Sheva,S2,S3,0.5989,0.3199,1,0.5618,Strong,Escrow,Stale,Stale,421.3218
2026-01-01,Hamburg,S3,S4,0.4772,0.3099,1,0.5998,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-02,Nhava Sheva,S1,S3,0.4426,0.3161,1,0.3431,Strong,Escrow,Stale,Stale,232.5081
2026-01-02,Rotterdam,S3,S3,0.8068,0.2712,1,0.9184,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-03,Rotterdam,S3,S3,0.7198,0.2474,1,0.8233,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-03,Nhava Sheva,S1,S3,0.5344,0.2848,1,0.5127,Strong,Escrow,Stale,Stale,232.5081
2026-01-03,Hamburg,S3,S4,0.3546,0.2817,1,0.7405,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Antwerp,S3,S4,0.3291,0.1702,1,0.6388,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Hamburg,S3,S3,0.6457,0.258,1,0.7045,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-04,Nhava Sheva,S0,S0,0.3523,0.2861,1,0.387,Strong,Escrow,Stale,Stale,123.1027
2026-01-04,Rotterdam,S3,S3,0.5977,0.2665,1,0.6255,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Rotterdam,S3,S3,0.6293,0.2723,1,0.6635,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Antwerp,S3,S4,0.3882,0.1547,1,0.5349,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Hamburg,S3,S3,0.5951,0.2797,1,0.6056,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Busan,S3,S4,0.3151,0.1728,1,0.6633,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-05,Nhava Sheva,S3,S3,0.6782,0.2922,1,0.709,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Rotterdam,S3,S4,0.4672,0.321,1,0.6145,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Antwerp,S3,S4,0.3752,0.2312,1,0.648,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-06,Hamburg,S4,S0,0.3534,0.3093,1,0.4023,Strong,Escrow,Stale,Stale,282.8792
2026-01-06,Nhava Sheva,S4,S3,0.4615,0.3229,1,0.3619,Strong,Escrow,Stale,Stale,282.8792
2026-01-07,Hamburg,S3,S3,0.6316,0.2747,1,0.6639,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-07,Nhava Sheva,S1,S0,0.3352,0.2889,1,0.3964,Strong,Escrow,Stale,Stale,232.5081
2026-01-07,Rotterdam,S4,S3,0.6673,0.2776,1,0.7113,Strong,Escrow,Stale,Stale,282.8792
2026-01-08,Rotterdam,S3,S3,0.676,0.2848,1,0.7149,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-08,Nhava Sheva,S1,S0,0.3687,0.2886,1,0.3617,Strong,Escrow,Stale,Stale,232.5081
2026-01-09,Hamburg,S3,S3,0.6377,0.2869,1,0.6577,Strong,Escrow,CRDT,CRDT,763.4659
2026-01-09,Nhava Sheva,S1,S3,0.4548,0.2971,1,0.3838,Strong,Escrow,Stale,Stale,232.5081
2026-01-09,Rotterdam,S4,S3,0.6093,0.2557,1,0.6553,Strong,Escrow,Stale,Stale,282.8792
